torneo,fecha,date,local,visitante,resultado
Apertura 07,17,03/08/2007,Banfield,Estudiantes LP,0 - 3
Apertura 07,17,04/08/2007,Gimnasia LP,Tigre,0 - 1
Apertura 07,17,04/08/2007,Argentinos,San MartÃ­n SJ,0 - 1
Apertura 07,17,04/08/2007,Independiente,LanÃºs,5 - 3
Apertura 07,17,05/08/2007,Olimpo,Racing,0 - 2
Apertura 07,17,05/08/2007,Newell's,San Lorenzo,1 - 0
Apertura 07,17,05/08/2007,Boca,Central,0 - 0
Apertura 07,17,05/08/2007,HuracÃ¡n,Arsenal,1 - 1
Apertura 07,17,23/08/2007,Gimnasia (J),River,2 - 2
Apertura 07,18,03/08/2007,ColÃ³n,VÃ©lez,0 - 1
Apertura 07,18,03/08/2007,Banfield,Estudiantes LP,0 - 3
Apertura 07,18,04/08/2007,Gimnasia LP,Tigre,0 - 1
Apertura 07,18,04/08/2007,Argentinos,San MartÃ­n SJ,0 - 1
Apertura 07,18,04/08/2007,Independiente,LanÃºs,5 - 3
Apertura 07,18,05/08/2007,Olimpo,Racing,0 - 2
Apertura 07,18,05/08/2007,Newell's,San Lorenzo,1 - 0
Apertura 07,18,05/08/2007,Boca,Central,0 - 0
Apertura 07,18,05/08/2007,HuracÃ¡n,Arsenal,1 - 1
Apertura 07,18,23/08/2007,Gimnasia (J),River,2 - 2
Apertura 07,19,03/08/2007,ColÃ³n,VÃ©lez,0 - 1
Apertura 07,19,03/08/2007,Banfield,Estudiantes LP,0 - 3
Apertura 07,19,04/08/2007,Gimnasia LP,Tigre,0 - 1
Apertura 07,19,04/08/2007,Argentinos,San MartÃ­n SJ,0 - 1
Apertura 07,19,04/08/2007,Independiente,LanÃºs,5 - 3
Apertura 07,19,05/08/2007,Olimpo,Racing,0 - 2
Apertura 07,19,05/08/2007,Newell's,San Lorenzo,1 - 0
Apertura 07,19,05/08/2007,Boca,Central,0 - 0
Apertura 07,19,05/08/2007,HuracÃ¡n,Arsenal,1 - 1
Apertura 07,19,23/08/2007,Gimnasia (J),River,2 - 2
Clausura 08,1,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,1,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,1,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,1,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,1,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,1,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,1,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,1,10/02/2008,Central,Boca,1 - 1
Clausura 08,1,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,1,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,2,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,2,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,2,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,2,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,2,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,2,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,2,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,2,10/02/2008,Central,Boca,1 - 1
Clausura 08,2,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,2,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,3,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,3,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,3,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,3,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,3,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,3,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,3,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,3,10/02/2008,Central,Boca,1 - 1
Clausura 08,3,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,3,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,4,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,4,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,4,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,4,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,4,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,4,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,4,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,4,10/02/2008,Central,Boca,1 - 1
Clausura 08,4,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
Clausura 08,4,10/02/2008,River,Gimnasia (J),2 - 0
Clausura 08,5,08/02/2008,San Lorenzo,Newell's,0 - 2
Clausura 08,5,08/02/2008,Estudiantes LP,Banfield,2 - 1
Clausura 08,5,09/02/2008,San MartÃ­n SJ,Argentinos,2 - 0
Clausura 08,5,09/02/2008,Tigre,Gimnasia LP,2 - 1
Clausura 08,5,09/02/2008,VÃ©lez,ColÃ³n,4 - 3
Clausura 08,5,09/02/2008,Racing,Olimpo,1 - 1
Clausura 08,5,10/02/2008,LanÃºs,Independiente,1 - 0
Clausura 08,5,10/02/2008,Central,Boca,1 - 1
Clausura 08,5,10/02/2008,Arsenal,HuracÃ¡n,2 - 0
